Strike,Last_Price,Bid,Mid,Ask,Volume,OI,IV,Delta,Gamma,Theta,Vega,OptionType,Expiration,UndPrice
115.00,,50.65,51.22,51.80,0,198,0.3677,0.92,0.0032,-0.03,0.20,Call,2025-12-19,161.3
120.00,,46.60,47.30,48.00,0,1535,0.376,0.89,0.0039,-0.03,0.24,Call,2025-12-19,161.3
125.00,43.7,42.50,43.13,43.75,2,836,0.3667,0.87,0.0046,-0.03,0.28,Call,2025-12-19,161.3
130.00,39.59,38.30,39.20,40.10,27,716,0.3616,0.84,0.0053,-0.04,0.32,Call,2025-12-19,161.3
135.00,35.3,34.70,35.13,35.55,3,469,0.34759999999999996,0.81,0.0061,-0.04,0.35,Call,2025-12-19,161.3
140.00,31.8,31.45,31.92,32.40,6,2938,0.3532,0.77,0.0067,-0.04,0.39,Call,2025-12-19,161.3
145.00,,27.95,28.42,28.90,0,954,0.3456,0.73,0.0074,-0.04,0.43,Call,2025-12-19,161.3
150.00,24.18,24.70,24.90,25.10,7,1831,0.33340000000000003,0.69,0.0082,-0.04,0.45,Call,2025-12-19,161.3
155.00,22.15,21.60,22.08,22.55,8,1102,0.33240000000000003,0.65,0.0087,-0.04,0.48,Call,2025-12-19,161.3
160.00,19.01,18.30,18.73,19.15,75,2042,0.316,0.60,0.0095,-0.04,0.50,Call,2025-12-19,161.3
165.00,16.8,16.35,16.45,16.55,346,6400,0.3172,0.56,0.0097,-0.04,0.51,Call,2025-12-19,161.3
170.00,14.15,14.00,14.13,14.25,573,7654,0.3128,0.51,0.0099,-0.04,0.51,Call,2025-12-19,161.3
175.00,12.0,11.90,12.03,12.15,19,5022,0.3085,0.46,0.0100,-0.04,0.51,Call,2025-12-19,161.3
180.00,10.15,10.05,10.15,10.25,32,5696,0.3043,0.41,0.0099,-0.04,0.50,Call,2025-12-19,161.3
185.00,8.59,8.40,8.50,8.60,280,1723,0.3005,0.37,0.0097,-0.04,0.48,Call,2025-12-19,161.3
190.00,7.05,7.00,7.10,7.20,497,2533,0.2977,0.32,0.0093,-0.03,0.46,Call,2025-12-19,161.3
195.00,6.05,5.75,5.85,5.95,27,1509,0.2942,0.28,0.0089,-0.03,0.43,Call,2025-12-19,161.3
200.00,4.95,4.80,4.85,4.90,470,16624,0.2925,0.24,0.0083,-0.03,0.40,Call,2025-12-19,161.3
205.00,4.0,3.90,3.97,4.05,270,873,0.2904,0.21,0.0077,-0.03,0.37,Call,2025-12-19,161.3
210.00,3.35,3.20,3.28,3.35,13,2635,0.2895,0.18,0.0070,-0.02,0.34,Call,2025-12-19,161.3
215.00,2.64,2.64,2.70,2.75,5,2391,0.289,0.15,0.0064,-0.02,0.31,Call,2025-12-19,161.3
220.00,2.3,2.20,2.24,2.28,19,3806,0.2896,0.13,0.0057,-0.02,0.28,Call,2025-12-19,161.3
225.00,1.88,1.80,1.85,1.89,60,21277,0.2896,0.11,0.0051,-0.02,0.25,Call,2025-12-19,161.3
230.00,1.49,1.50,1.55,1.59,1,3016,0.2909,0.10,0.0045,-0.02,0.22,Call,2025-12-19,161.3
235.00,,1.25,1.29,1.33,0,762,0.2922,0.08,0.0040,-0.01,0.20,Call,2025-12-19,161.3
240.00,1.17,1.05,1.09,1.13,16,896,0.29410000000000003,0.07,0.0036,-0.01,0.18,Call,2025-12-19,161.3
245.00,0.93,0.90,0.94,0.97,5,427,0.2967,0.06,0.0032,-0.01,0.16,Call,2025-12-19,161.3
250.00,0.75,0.76,0.79,0.83,6,1187,0.2988,0.05,0.0028,-0.01,0.14,Call,2025-12-19,161.3
255.00,,0.65,0.69,0.73,0,458,0.3018,0.05,0.0025,-0.01,0.13,Call,2025-12-19,161.3
260.00,0.62,0.56,0.61,0.65,1,733,0.30519999999999997,0.04,0.0023,-0.01,0.11,Call,2025-12-19,161.3
265.00,,0.49,0.53,0.58,0,3510,0.30879999999999996,0.04,0.0020,-0.01,0.10,Call,2025-12-19,161.3
270.00,,0.44,0.48,0.52,0,558,0.3129,0.03,0.0018,-0.01,0.10,Call,2025-12-19,161.3
280.00,,0.35,0.39,0.42,0,1356,0.32020000000000004,0.03,0.0015,-0.01,0.08,Call,2025-12-19,161.3
290.00,0.32,0.29,0.32,0.35,5,147,0.3285,0.02,0.0012,-0.01,0.07,Call,2025-12-19,161.3
300.00,,0.27,0.29,0.31,0,6137,0.33990000000000004,0.02,0.0011,0.00,0.06,Call,2025-12-19,161.3
310.00,,0.20,0.24,0.27,0,153,0.3454,0.02,0.0009,0.00,0.05,Call,2025-12-19,161.3
320.00,,0.17,0.20,0.22,0,244,0.3514,0.01,0.0008,0.00,0.04,Call,2025-12-19,161.3
330.00,,0.14,0.18,0.22,0,150,0.3615,0.01,0.0007,0.00,0.04,Call,2025-12-19,161.3
